language,wals,metric,algorithm,value,run_id
DESANO,des,del-verses,gzip,0.8111578237118352,1
DESANO,des,del-verses,gzip,0.8176846120907781,2
DESANO,des,del-verses,gzip,0.8087183878962462,3
DESANO,des,del-verses,gzip,0.8105544526191496,4
DESANO,des,del-verses,gzip,0.8066098330024524,5
DESANO,des,del-verses,gzip,0.8078230630490353,6
DESANO,des,del-verses,gzip,0.805487433012833,7
DESANO,des,del-verses,gzip,0.8134675023031908,8
DESANO,des,del-verses,gzip,0.8100613751670624,9
ENGLISH,eng,del-verses,gzip,0.8031047418732047,0
ENGLISH,eng,del-verses,gzip,0.8018882732423991,1
ENGLISH,eng,del-verses,gzip,0.8074761807593903,2
ENGLISH,eng,del-verses,gzip,0.8085042929570391,3
ENGLISH,eng,del-verses,gzip,0.8134251047732659,4
ENGLISH,eng,del-verses,gzip,0.8139430849644477,5
ENGLISH,eng,del-verses,gzip,0.813111177384671,6
ENGLISH,eng,del-verses,gzip,0.8145003060792039,7
ENGLISH,eng,del-verses,gzip,0.8094853160463985,8
ENGLISH,eng,del-verses,gzip,0.815183098149398,9
FRENCH,fre,del-verses,gzip,0.8079049426520339,0
FRENCH,fre,del-verses,gzip,0.8141685857669024,1
FRENCH,fre,del-verses,gzip,0.810567928646978,2
FRENCH,fre,del-verses,gzip,0.8127808325019316,3
FRENCH,fre,del-verses,gzip,0.809240186334006,4
FRENCH,fre,del-verses,gzip,0.8103428875769828,5
FRENCH,fre,del-verses,gzip,0.8118056545319521,6
FRENCH,fre,del-verses,gzip,0.8107254573959748,7
FRENCH,fre,del-verses,gzip,0.8056320278450817,8
FRENCH,fre,del-verses,gzip,0.8121132106609457,9
GERMANY,ger,del-verses,gzip,0.8064176436998969,0
GERMANY,ger,del-verses,gzip,0.8038517727498572,1
GERMANY,ger,del-verses,gzip,0.8098882437132454,2
GERMANY,ger,del-verses,gzip,0.8148197586894778,3
GERMANY,ger,del-verses,gzip,0.8112453373082086,4
GERMANY,ger,del-verses,gzip,0.8106149932886901,5
GERMANY,ger,del-verses,gzip,0.8103109449969225,6
GERMANY,ger,del-verses,gzip,0.8103702714928771,7
GERMANY,ger,del-verses,gzip,0.8067810184876193,8
GERMANY,ger,del-verses,gzip,0.8098215014052964,9
GUAJAJARA,gjj,del-verses,gzip,0.8062281481481481,0
GUAJAJARA,gjj,del-verses,gzip,0.8086281481481481,1
GUAJAJARA,gjj,del-verses,gzip,0.8061155555555556,2
GUAJAJARA,gjj,del-verses,gzip,0.8065955555555555,3
GUAJAJARA,gjj,del-verses,gzip,0.8006044444444445,4
GUAJAJARA,gjj,del-verses,gzip,0.8083614814814815,5
