,,,,value,value
,,,,mean,var
Aruak,trn,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.03068657,1.04e-06
Aruak,trn,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.05961639,2.4e-07
Aruak,trn,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.38442809,8.7e-07
Aruak,trn,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.16906228,7.3e-07
Aruak,trn,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.88927455,5.27e-06
Aruak,trn,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90466801,1.384e-05
Aruak,trn,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.91426876,9e-07
Aruak,trn,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.9171208,4.9e-07
Aruak,wps,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.00474331,5.6e-07
Aruak,wps,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.98552236,4.8e-07
Aruak,wps,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.42007761,4.93e-06
Aruak,wps,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.2039577,1.35e-06
Aruak,wps,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89939533,4.76e-06
Aruak,wps,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90317522,5.79e-06
Aruak,wps,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.92697522,1.54e-06
Aruak,wps,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91683248,1.62e-06
Boróro,brr,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.80036399,2.6e-07
Boróro,brr,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.76205389,1.1e-07
Boróro,brr,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.48585063,7e-07
Boróro,brr,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.26137159,1.58e-06
Boróro,brr,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90024804,1.097e-05
Boróro,brr,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90548247,6.3e-06
Boróro,brr,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.96397325,9.2e-07
Boróro,brr,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.94114896,2.13e-06
Guaikurú,kdw,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.03639105,1.36e-06
Guaikurú,kdw,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.05239524,4.3e-07
Guaikurú,kdw,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.47628782,7.9e-07
Guaikurú,kdw,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.24102829,9.5e-07
Guaikurú,kdw,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90033171,6.88e-06
Guaikurú,kdw,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90601428,8.83e-06
Guaikurú,kdw,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.92936394,1.22e-06
Guaikurú,kdw,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91980952,1.4e-06
Indo-European,[grc],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.18458508,1.25e-06
Indo-European,[grc],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.1369712,1.48e-06
Indo-European,[grc],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.23152823,2.94e-06
Indo-European,[grc],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.0816781,6.9e-07
Indo-European,[grc],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91220405,4e-06
Indo-European,[grc],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90507299,5.93e-06
Indo-European,[grc],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.92153913,1.08e-06
Indo-European,[grc],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91348905,9.2e-07
Indo-European,eng,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.92728335,9e-08
Indo-European,eng,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.88146739,3.5e-07
Indo-European,eng,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.29741849,1.13e-06
Indo-European,eng,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.10658933,1.32e-06
Indo-European,eng,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.9134055,5.85e-06
Indo-European,eng,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90369492,7.16e-06
Indo-European,eng,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94402592,1.18e-06
Indo-European,eng,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92223155,7.8e-07
Indo-European,fre,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.94796197,4.3e-07
Indo-European,fre,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.89197078,9e-07
Indo-European,fre,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.28382897,1.45e-06
Indo-European,fre,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.10979903,7.8e-07
Indo-European,fre,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90873646,8.78e-06
Indo-European,fre,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90571829,9.52e-06
Indo-European,fre,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93801737,1.66e-06
Indo-European,fre,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92252436,1.03e-06
Indo-European,ger,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.98757774,3e-07
Indo-European,ger,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.9495117,6.5e-07
Indo-European,ger,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.28003896,2.6e-06
Indo-European,ger,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.10232263,1.12e-06
Indo-European,ger,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90971002,9.25e-06
Indo-European,ger,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90515398,7.91e-06
Indo-European,ger,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93294785,1.07e-06
Indo-European,ger,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91686503,1.29e-06
Indo-European,por,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.98953447,1.96e-06
Indo-European,por,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.9245972,3.8e-07
Indo-European,por,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.25010084,8.2e-07
Indo-European,por,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.0979521,7.7e-07
Indo-European,por,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91056948,1.163e-05
Indo-European,por,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.9050478,4.43e-06
Indo-European,por,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93181723,1.66e-06
Indo-European,por,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.9184919,2.12e-06
Indo-European,spa,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.97136537,4.64e-06
Indo-European,spa,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.93520901,5.9e-07
Indo-European,spa,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.2792249,3.3e-06
Indo-European,spa,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.10454686,2.45e-06
Indo-European,spa,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91083297,3.88e-06
Indo-European,spa,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90485427,3.9e-06
Indo-European,spa,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93780086,2.07e-06
Indo-European,spa,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91800777,1.03e-06
Jê,api,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.7045441,8.3e-06
Jê,api,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.65976478,3.8e-07
Jê,api,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.46071684,4.5e-07
Jê,api,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21422081,4.8e-07
Jê,api,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91116897,4.6e-06
Jê,api,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90465479,2.01e-05
Jê,api,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.99831729,3.3e-07
Jê,api,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.95525135,5e-07
Jê,cnl,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.73930736,2.1e-07
Jê,cnl,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.67877824,9e-08
Jê,cnl,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.38384863,5.43e-06
Jê,cnl,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.18612816,1.04e-06
Jê,cnl,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90224234,1.18e-05
Jê,cnl,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90428625,9.55e-06
Jê,cnl,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.97751861,6.5e-07
Jê,cnl,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.94924802,5.8e-07
Jê,kng,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.70290833,8.3e-07
Jê,kng,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.64269659,1.1e-07
Jê,kng,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.38841378,3.79e-06
Jê,kng,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.16037531,1.2e-06
Jê,kng,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91087449,7.15e-06
Jê,kng,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90502638,9.59e-06
Jê,kng,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,1.0002537,8.2e-07
Jê,kng,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.95402124,2.33e-06
Jê,kyp,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.81409949,9.6e-07
Jê,kyp,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.72441679,2.4e-07
Jê,kyp,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.35385958,1.23e-06
Jê,kyp,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.19344673,1.44e-06
Jê,kyp,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90372636,3.074e-05
Jê,kyp,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.9045144,6.4e-06
Jê,kyp,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95600021,1.78e-06
Jê,kyp,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.94180474,4.3e-07
Jê,xav,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.7108006,2.7e-07
Jê,xav,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.66729463,5e-08
