language,wals,metric,algorithm,value,run_id
ANCIENT_GREEK,[grc],del-verses,gzip,0.9047226277372262,0
ANCIENT_GREEK,[grc],del-verses,gzip,0.9097956204379563,1
ANCIENT_GREEK,[grc],del-verses,gzip,0.902007299270073,2
ANCIENT_GREEK,[grc],del-verses,gzip,0.9033722627737226,3
ANCIENT_GREEK,[grc],del-verses,gzip,0.908029197080292,4
ANCIENT_GREEK,[grc],del-verses,gzip,0.9026277372262774,5
ANCIENT_GREEK,[grc],del-verses,gzip,0.9043868613138686,6
ANCIENT_GREEK,[grc],del-verses,gzip,0.9062846715328468,7
ANCIENT_GREEK,[grc],del-verses,gzip,0.9037883211678832,8
ANCIENT_GREEK,[grc],del-verses,gzip,0.9057153284671533,9
APALAÍ,apl,del-verses,gzip,0.9057900360625083,0
APALAÍ,apl,del-verses,gzip,0.8997595832776814,1
APALAÍ,apl,del-verses,gzip,0.9038399893148124,2
APALAÍ,apl,del-verses,gzip,0.9040870842794176,3
APALAÍ,apl,del-verses,gzip,0.9009483104047015,4
APALAÍ,apl,del-verses,gzip,0.8958594897822894,5
APALAÍ,apl,del-verses,gzip,0.9056230800053426,6
APALAÍ,apl,del-verses,gzip,0.900901562708695,7
APALAÍ,apl,del-verses,gzip,0.9072325363964204,8
APALAÍ,apl,del-verses,gzip,0.9049619340189662,9
APINAYÉ,api,del-verses,gzip,0.9062337382270624,0
APINAYÉ,api,del-verses,gzip,0.9053383151982823,1
APINAYÉ,api,del-verses,gzip,0.9092997416868644,2
APINAYÉ,api,del-verses,gzip,0.9043444425171232,3
APINAYÉ,api,del-verses,gzip,0.9095435217784695,4
APINAYÉ,api,del-verses,gzip,0.8973779575916402,5
APINAYÉ,api,del-verses,gzip,0.9038334419404895,6
APINAYÉ,api,del-verses,gzip,0.9074338863703488,7
APINAYÉ,api,del-verses,gzip,0.9066744176234254,8
APINAYÉ,api,del-verses,gzip,0.896468470326806,9
APURINÃ,apu,del-verses,gzip,0.905194428723272,0
APURINÃ,apu,del-verses,gzip,0.9025509711083196,1
APURINÃ,apu,del-verses,gzip,0.9020264207721933,2
APURINÃ,apu,del-verses,gzip,0.9011912814212554,3
APURINÃ,apu,del-verses,gzip,0.9043523873942272,4
APURINÃ,apu,del-verses,gzip,0.901591596151457,5
APURINÃ,apu,del-verses,gzip,0.9073823557831675,6
APURINÃ,apu,del-verses,gzip,0.9033308946344022,7
APURINÃ,apu,del-verses,gzip,0.9073892577612743,8
APURINÃ,apu,del-verses,gzip,0.8996590422815178,9
ASHENINKA,cax,del-verses,gzip,0.9009673063727118,0
ASHENINKA,cax,del-verses,gzip,0.9040293364617689,1
ASHENINKA,cax,del-verses,gzip,0.9061321764024467,2
ASHENINKA,cax,del-verses,gzip,0.9031586869424707,3
ASHENINKA,cax,del-verses,gzip,0.8995875482361969,4
ASHENINKA,cax,del-verses,gzip,0.904435147678391,5
ASHENINKA,cax,del-verses,gzip,0.9059846086873113,6
ASHENINKA,cax,del-verses,gzip,0.9007311980284953,7
ASHENINKA,cax,del-verses,gzip,0.9039924445329851,8
ASHENINKA,cax,del-verses,gzip,0.8975732489246003,9
BAKAIRI,bki,del-verses,gzip,0.8998340029090044,0
BAKAIRI,bki,del-verses,gzip,0.9060034713398182,1
BAKAIRI,bki,del-verses,gzip,0.9081771140297281,2
BAKAIRI,bki,del-verses,gzip,0.9049490924230709,3
BAKAIRI,bki,del-verses,gzip,0.9038082003644367,4
BAKAIRI,bki,del-verses,gzip,0.9048463580670801,5
BAKAIRI,bki,del-verses,gzip,0.9004125595453735,6
BAKAIRI,bki,del-verses,gzip,0.904446234785853,7
BAKAIRI,bki,del-verses,gzip,0.8999799938359386,8
BAKAIRI,bki,del-verses,gzip,0.9039433771486349,9
BORÔRO,brr,del-verses,gzip,0.9098712177653121,0
BORÔRO,brr,del-verses,gzip,0.9019013692112167,1
BORÔRO,brr,del-verses,gzip,0.9065029706937462,2
BORÔRO,brr,del-verses,gzip,0.9060459408866378,3
BORÔRO,brr,del-verses,gzip,0.9016446812373613,4
BORÔRO,brr,del-verses,gzip,0.9061648938501318,5
BORÔRO,brr,del-verses,gzip,0.9078928421619388,6
BORÔRO,brr,del-verses,gzip,0.9044745096320597,7
BORÔRO,brr,del-verses,gzip,0.9044306848560356,8
BORÔRO,brr,del-verses,gzip,0.9058956845116981,9
CANELA,cnl,del-verses,gzip,0.9084837281196474,0
CANELA,cnl,del-verses,gzip,0.9042173204662238,1
CANELA,cnl,del-verses,gzip,0.901319087604963,2
CANELA,cnl,del-verses,gzip,0.9029692526214647,3
CANELA,cnl,del-verses,gzip,0.9010997618749217,4
CANELA,cnl,del-verses,gzip,0.9003947863140744,5
CANELA,cnl,del-verses,gzip,0.9098414588294272,6
CANELA,cnl,del-verses,gzip,0.9042695408781385,7
CANELA,cnl,del-verses,gzip,0.9048021890796675,8
CANELA,cnl,del-verses,gzip,0.905465388310983,9
CULINA,cul,del-verses,gzip,0.9041661678438884,0
CULINA,cul,del-verses,gzip,0.9041008674074639,1
CULINA,cul,del-verses,gzip,0.9020711121752664,2
CULINA,cul,del-verses,gzip,0.9039920333467562,3
CULINA,cul,del-verses,gzip,0.904645037711002,4
CULINA,cul,del-verses,gzip,0.9043239772319145,5
CULINA,cul,del-verses,gzip,0.8974565480012625,6
CULINA,cul,del-verses,gzip,0.9003896259373333,7
CULINA,cul,del-verses,gzip,0.901809910429568,8
CULINA,cul,del-verses,gzip,0.8965641087034598,9
DESANO,des,del-verses,gzip,0.9026366667964238,0
DESANO,des,del-verses,gzip,0.9025523246006721,1
DESANO,des,del-verses,gzip,0.9025133974334021,2
DESANO,des,del-verses,gzip,0.9037590667860433,3
DESANO,des,del-verses,gzip,0.8989775130730403,4
DESANO,des,del-verses,gzip,0.9031167685260877,5
DESANO,des,del-verses,gzip,0.9009433350201772,6
DESANO,des,del-verses,gzip,0.9041742899035904,7
DESANO,des,del-verses,gzip,0.901721878365578,8
DESANO,des,del-verses,gzip,0.9040380448181452,9
ENGLISH,eng,del-verses,gzip,0.9052488659373087,0
ENGLISH,eng,del-verses,gzip,0.901952628357061,1
ENGLISH,eng,del-verses,gzip,0.8979814468913341,2
ENGLISH,eng,del-verses,gzip,0.9046759484531228,3
ENGLISH,eng,del-verses,gzip,0.9041422718925113,4
ENGLISH,eng,del-verses,gzip,0.9067635655872797,5
ENGLISH,eng,del-verses,gzip,0.9047387339308418,6
ENGLISH,eng,del-verses,gzip,0.9023764303316643,7
ENGLISH,eng,del-verses,gzip,0.9021331366055031,8
ENGLISH,eng,del-verses,gzip,0.906936225651007,9
FRENCH,fre,del-verses,gzip,0.908145736596929,0
FRENCH,fre,del-verses,gzip,0.905002662985995,1
FRENCH,fre,del-verses,gzip,0.9098410459908933,2
FRENCH,fre,del-verses,gzip,0.909000892662911,3
FRENCH,fre,del-verses,gzip,0.9059928436939741,4
FRENCH,fre,del-verses,gzip,0.9056252766129819,5
FRENCH,fre,del-verses,gzip,0.9024822030020478,6
FRENCH,fre,del-verses,gzip,0.9020996331830559,7
FRENCH,fre,del-verses,gzip,0.9009669264640797,8
FRENCH,fre,del-verses,gzip,0.9080257146929315,9
GERMANY,ger,del-verses,gzip,0.9013103739793988,0
GERMANY,ger,del-verses,gzip,0.902444993214532,1
GERMANY,ger,del-verses,gzip,0.9042025406571893,2
GERMANY,ger,del-verses,gzip,0.9029196051821694,3
GERMANY,ger,del-verses,gzip,0.905129517156481,4
GERMANY,ger,del-verses,gzip,0.9072059445148947,5
GERMANY,ger,del-verses,gzip,0.9113143043597559,6
GERMANY,ger,del-verses,gzip,0.9052630017723791,7
GERMANY,ger,del-verses,gzip,0.9060416620317842,8
GERMANY,ger,del-verses,gzip,0.9057079504920391,9
GUAJAJARA,gjj,del-verses,gzip,0.9089481481481482,0
GUAJAJARA,gjj,del-verses,gzip,0.9013096296296297,1
GUAJAJARA,gjj,del-verses,gzip,0.9045037037037037,2
GUAJAJARA,gjj,del-verses,gzip,0.907514074074074,3
GUAJAJARA,gjj,del-verses,gzip,0.9056118518518519,4
GUAJAJARA,gjj,del-verses,gzip,0.9058666666666667,5
GUAJAJARA,gjj,del-verses,gzip,0.8975585185185185,6
GUAJAJARA,gjj,del-verses,gzip,0.9032118518518518,7
GUAJAJARA,gjj,del-verses,gzip,0.9062281481481481,8
GUAJAJARA,gjj,del-verses,gzip,0.9039111111111111,9
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9053531361977161,0
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9024563812330465,1
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.905981045510867,2
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9054787180603463,3
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9038712702186799,4
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.904624761394461,5
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9067931415558755,6
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9091205920766217,7
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9039968520813101,8
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.9051019724724557,9
GUARANI_MBYA,[gun],del-verses,gzip,0.9030010718113612,0
GUARANI_MBYA,[gun],del-verses,gzip,0.9030596864951769,1
GUARANI_MBYA,[gun],del-verses,gzip,0.8995176848874598,2
GUARANI_MBYA,[gun],del-verses,gzip,0.9024400455519829,3
GUARANI_MBYA,[gun],del-verses,gzip,0.9089546489817792,4
GUARANI_MBYA,[gun],del-verses,gzip,0.9038300509110396,5
GUARANI_MBYA,[gun],del-verses,gzip,0.9071710878885316,6
GUARANI_MBYA,[gun],del-verses,gzip,0.903394627545552,7
GUARANI_MBYA,[gun],del-verses,gzip,0.9052786709539121,8
GUARANI_MBYA,[gun],del-verses,gzip,0.9015943193997856,9
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9089072735759468,0
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9010606962931964,1
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9041832316631525,2
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9035072188511001,3
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9038613208002704,4
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9076759645254229,5
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9037566997698337,6
GUARANI_PARAGUAY,gua,del-verses,gzip,0.903796938627694,7
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9039900851454232,8
GUARANI_PARAGUAY,gua,del-verses,gzip,0.9072816237183924,9
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9063936238291931,0
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9072579639802864,1
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9078979081306151,2
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9075156038330161,3
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9049724491576839,4
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9088121140596561,5
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.910698702658677,6
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9091445525793074,7
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9044488584892332,8
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.9099756488784355,9
HIXKARYÁNA,hix,del-verses,gzip,0.9032615007066402,0
HIXKARYÁNA,hix,del-verses,gzip,0.9086735979491,1
HIXKARYÁNA,hix,del-verses,gzip,0.9041653428574559,2
HIXKARYÁNA,hix,del-verses,gzip,0.9074958642374311,3
HIXKARYÁNA,hix,del-verses,gzip,0.9065810664241813,4
HIXKARYÁNA,hix,del-verses,gzip,0.9019358655521106,5
HIXKARYÁNA,hix,del-verses,gzip,0.9010648903885974,6
HIXKARYÁNA,hix,del-verses,gzip,0.9031848110696014,7
HIXKARYÁNA,hix,del-verses,gzip,0.9089913121596898,8
HIXKARYÁNA,hix,del-verses,gzip,0.9085695191559757,9
JAMAMADI,jmm,del-verses,gzip,0.9034099837619821,0
JAMAMADI,jmm,del-verses,gzip,0.9076702809351701,1
JAMAMADI,jmm,del-verses,gzip,0.9079234543327571,2
JAMAMADI,jmm,del-verses,gzip,0.9085258324166711,3
JAMAMADI,jmm,del-verses,gzip,0.9062647320727044,4
JAMAMADI,jmm,del-verses,gzip,0.9053567998882545,5
JAMAMADI,jmm,del-verses,gzip,0.9034885548164057,6
JAMAMADI,jmm,del-verses,gzip,0.9079059940984407,7
JAMAMADI,jmm,del-verses,gzip,0.9026242732177466,8
JAMAMADI,jmm,del-verses,gzip,0.9024322106402668,9
KAAPOR,urk,del-verses,gzip,0.9036956783435657,0
KAAPOR,urk,del-verses,gzip,0.9067533405561574,1
KAAPOR,urk,del-verses,gzip,0.909443842542434,2
KAAPOR,urk,del-verses,gzip,0.9023775129408932,3
KAAPOR,urk,del-verses,gzip,0.9041651619116408,4
KAAPOR,urk,del-verses,gzip,0.9059046587215601,5
KAAPOR,urk,del-verses,gzip,0.9010834236186349,6
KAAPOR,urk,del-verses,gzip,0.9048152160828217,7
KAAPOR,urk,del-verses,gzip,0.9040748766100879,8
KAAPOR,urk,del-verses,gzip,0.9084868183459732,9
KADIWÉU,kdw,del-verses,gzip,0.9040173593321479,0
KADIWÉU,kdw,del-verses,gzip,0.9019800488231217,1
KADIWÉU,kdw,del-verses,gzip,0.907627859317079,2
KADIWÉU,kdw,del-verses,gzip,0.9101775112263042,3
KADIWÉU,kdw,del-verses,gzip,0.9027636297881317,4
KADIWÉU,kdw,del-verses,gzip,0.9083330821855882,5
KADIWÉU,kdw,del-verses,gzip,0.9036014586661041,6
KADIWÉU,kdw,del-verses,gzip,0.9090383050540972,7
KADIWÉU,kdw,del-verses,gzip,0.9083270546397034,8
KADIWÉU,kdw,del-verses,gzip,0.9042765438051897,9
KAIGANG,kng,del-verses,gzip,0.9105917636906362,0
KAIGANG,kng,del-verses,gzip,0.9025421930482267,1
KAIGANG,kng,del-verses,gzip,0.9039851740772702,2
KAIGANG,kng,del-verses,gzip,0.9067650345891041,3
KAIGANG,kng,del-verses,gzip,0.9029383054875719,4
KAIGANG,kng,del-verses,gzip,0.9021390071724645,5
KAIGANG,kng,del-verses,gzip,0.9027402492678993,6
KAIGANG,kng,del-verses,gzip,0.9036315022564262,7
KAIGANG,kng,del-verses,gzip,0.9100471090865364,8
KAIGANG,kng,del-verses,gzip,0.904883500502214,9
KAIWÁ,kaw,del-verses,gzip,0.9033484449993349,0
KAIWÁ,kaw,del-verses,gzip,0.9050779291218519,1
KAIWÁ,kaw,del-verses,gzip,0.9044690279071196,2
KAIWÁ,kaw,del-verses,gzip,0.908321991055804,3
KAIWÁ,kaw,del-verses,gzip,0.9059733720846935,4
KAIWÁ,kaw,del-verses,gzip,0.8996234022739135,5
KAIWÁ,kaw,del-verses,gzip,0.9050421114033382,6
KAIWÁ,kaw,del-verses,gzip,0.900390924813492,7
KAIWÁ,kaw,del-verses,gzip,0.904796504190673,8
KAIWÁ,kaw,del-verses,gzip,0.9025246374735205,9
KARAJÁ,jva,del-verses,gzip,0.9017016584809209,0
KARAJÁ,jva,del-verses,gzip,0.9013469856665921,1
KARAJÁ,jva,del-verses,gzip,0.9019329668380919,2
KARAJÁ,jva,del-verses,gzip,0.8998049299521191,3
KARAJÁ,jva,del-verses,gzip,0.9030509572310847,4
KARAJÁ,jva,del-verses,gzip,0.9035289945025714,5
KARAJÁ,jva,del-verses,gzip,0.9041458167883606,6
KARAJÁ,jva,del-verses,gzip,0.9026654433024666,7
KARAJÁ,jva,del-verses,gzip,0.899673855216389,8
KARAJÁ,jva,del-verses,gzip,0.9003060980593229,9
KASHINAWA,csh,del-verses,gzip,0.9065589641193199,0
KASHINAWA,csh,del-verses,gzip,0.9028680341259757,1
KASHINAWA,csh,del-verses,gzip,0.9006171719005264,2
KASHINAWA,csh,del-verses,gzip,0.9057602710715799,3
KASHINAWA,csh,del-verses,gzip,0.9065045077751558,4
KASHINAWA,csh,del-verses,gzip,0.9017547044230653,5
KASHINAWA,csh,del-verses,gzip,0.9050281357778182,6
KASHINAWA,csh,del-verses,gzip,0.9086948629515339,7
KASHINAWA,csh,del-verses,gzip,0.9033762933381739,8
KASHINAWA,csh,del-verses,gzip,0.9028317298965329,9
KAYABÍ,kyz,del-verses,gzip,0.9043021343282858,0
KAYABÍ,kyz,del-verses,gzip,0.9048649487887359,1
KAYABÍ,kyz,del-verses,gzip,0.9015317286652079,2
KAYABÍ,kyz,del-verses,gzip,0.903302653476107,3
KAYABÍ,kyz,del-verses,gzip,0.9031813572561824,4
KAYABÍ,kyz,del-verses,gzip,0.9025603206101686,5
KAYABÍ,kyz,del-verses,gzip,0.9038363568437753,6
KAYABÍ,kyz,del-verses,gzip,0.9048795043351269,7
KAYABÍ,kyz,del-verses,gzip,0.9008136550432543,8
KAYABÍ,kyz,del-verses,gzip,0.9049959487062545,9
KAYAPÓ,kyp,del-verses,gzip,0.9058776988268947,0
KAYAPÓ,kyp,del-verses,gzip,0.9054465965745122,1
KAYAPÓ,kyp,del-verses,gzip,0.9077542615725596,2
KAYAPÓ,kyp,del-verses,gzip,0.9059791346509847,3
KAYAPÓ,kyp,del-verses,gzip,0.9009225588200985,4
KAYAPÓ,kyp,del-verses,gzip,0.9031592187412829,5
