language,wals,metric,algorithm,value,run_id
ANCIENT_GREEK,[grc],del-verses,gzip,0.903606092967101,0
ANCIENT_GREEK,[grc],del-verses,gzip,0.9060486333206001,1
ANCIENT_GREEK,[grc],del-verses,gzip,0.9027640299685202,2
ANCIENT_GREEK,[grc],del-verses,gzip,0.9062187188931612,3
ANCIENT_GREEK,[grc],del-verses,gzip,0.903569845222129,4
ANCIENT_GREEK,[grc],del-verses,gzip,0.9038598271819052,5
ANCIENT_GREEK,[grc],del-verses,gzip,0.9033300524476987,6
ANCIENT_GREEK,[grc],del-verses,gzip,0.9036785884570451,7
ANCIENT_GREEK,[grc],del-verses,gzip,0.9042250929197001,8
ANCIENT_GREEK,[grc],del-verses,gzip,0.9037873316919611,9
APALAÍ,apl,del-verses,gzip,0.9048841844389869,0
APALAÍ,apl,del-verses,gzip,0.9042471926327916,1
APALAÍ,apl,del-verses,gzip,0.9039958794592536,2
APALAÍ,apl,del-verses,gzip,0.9044860645601148,3
APALAÍ,apl,del-verses,gzip,0.9035753653371951,4
APALAÍ,apl,del-verses,gzip,0.902935885281757,5
APALAÍ,apl,del-verses,gzip,0.9030727389901192,6
APALAÍ,apl,del-verses,gzip,0.9002087641114835,7
APALAÍ,apl,del-verses,gzip,0.9024904886672688,8
APALAÍ,apl,del-verses,gzip,0.9050857326276659,9
APURINÃ,apu,del-verses,gzip,0.9047722439199211,0
APURINÃ,apu,del-verses,gzip,0.9037075597805757,1
APURINÃ,apu,del-verses,gzip,0.9031608300873982,2
APURINÃ,apu,del-verses,gzip,0.9052771187083576,3
APURINÃ,apu,del-verses,gzip,0.9056930518242199,4
APURINÃ,apu,del-verses,gzip,0.9049893662382643,5
APURINÃ,apu,del-verses,gzip,0.9064464401095552,6
APURINÃ,apu,del-verses,gzip,0.9036552411496496,7
APURINÃ,apu,del-verses,gzip,0.9020935300165065,8
APURINÃ,apu,del-verses,gzip,0.902805063397101,9
ASHENINKA,cax,del-verses,gzip,0.9053465645187868,0
ASHENINKA,cax,del-verses,gzip,0.9027630759433922,1
ASHENINKA,cax,del-verses,gzip,0.9034194216895736,2
ASHENINKA,cax,del-verses,gzip,0.9038439517041249,3
ASHENINKA,cax,del-verses,gzip,0.9047237343000701,4
ASHENINKA,cax,del-verses,gzip,0.9024614361962111,5
ASHENINKA,cax,del-verses,gzip,0.903846744664747,6
ASHENINKA,cax,del-verses,gzip,0.9049918585197867,7
ASHENINKA,cax,del-verses,gzip,0.9036428585393375,8
ASHENINKA,cax,del-verses,gzip,0.9047628357487788,9
ENGLISH,eng,del-verses,gzip,0.9052542302018193,0
ENGLISH,eng,del-verses,gzip,0.9073208024989996,1
ENGLISH,eng,del-verses,gzip,0.9038775107957497,2
ENGLISH,eng,del-verses,gzip,0.9010673308367229,3
ENGLISH,eng,del-verses,gzip,0.9058664373129782,4
ENGLISH,eng,del-verses,gzip,0.9038595925388379,5
ENGLISH,eng,del-verses,gzip,0.9019184480400413,6
ENGLISH,eng,del-verses,gzip,0.9033489222168467,7
ENGLISH,eng,del-verses,gzip,0.9027844971241198,8
ENGLISH,eng,del-verses,gzip,0.9053229168533152,9
FRENCH,fre,del-verses,gzip,0.9048569188664454,0
FRENCH,fre,del-verses,gzip,0.907155047250312,1
FRENCH,fre,del-verses,gzip,0.9055927727824618,2
FRENCH,fre,del-verses,gzip,0.9040616305956738,3
FRENCH,fre,del-verses,gzip,0.9024229405288525,4
FRENCH,fre,del-verses,gzip,0.9060031528510094,5
FRENCH,fre,del-verses,gzip,0.9065805151543453,6
