,,,,value,value
,,,,mean,var
Guarani Eastern Bolivia,crg,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.80353288,1.6e-07
Guarani Eastern Bolivia,crg,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.76225409,2.1e-07
Guarani Eastern Bolivia,crg,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.48032092,5.18e-06
Guarani Eastern Bolivia,crg,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.23358521,3.1e-07
Guarani Eastern Bolivia,crg,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89910358,4.84e-06
Guarani Eastern Bolivia,crg,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90552989,2.94e-06
Guarani Eastern Bolivia,crg,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95695705,3.45e-06
Guarani Eastern Bolivia,crg,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93476562,2.2e-07
Guarani Mbya,[gun],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.82446297,3.31e-06
Guarani Mbya,[gun],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.80250105,9e-08
Guarani Mbya,[gun],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.40866741,9.1e-07
Guarani Mbya,[gun],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.17620952,3.1e-07
Guarani Mbya,[gun],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90158357,4.93e-06
Guarani Mbya,[gun],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90549813,9.5e-07
Guarani Mbya,[gun],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95346124,5.5e-07
Guarani Mbya,[gun],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.9258787,4.3e-07
Guarani Paraguay,gua,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.93045046,2.3e-06
Guarani Paraguay,gua,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.94530626,2.1e-07
Guarani Paraguay,gua,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.37341968,4.7e-07
Guarani Paraguay,gua,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.1491729,4e-07
Guarani Paraguay,gua,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91411381,5.08e-06
Guarani Paraguay,gua,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.904059,8.5e-07
Guarani Paraguay,gua,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94059627,2.2e-07
Guarani Paraguay,gua,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91479811,5.6e-07
Guarani Western Bolivia,[gnw],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.80920085,1.9e-07
Guarani Western Bolivia,[gnw],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.77253631,1.2e-07
Guarani Western Bolivia,[gnw],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.48092109,2.82e-06
Guarani Western Bolivia,[gnw],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.23325821,4.5e-07
Guarani Western Bolivia,[gnw],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89848862,1.423e-05
Guarani Western Bolivia,[gnw],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90484619,4.45e-06
